show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,genre1,genre2,genre3
1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25/09/2021,2020,PG-13,90,Documentaries,2021,Documentaries,,
7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",,24/09/2021,2021,PG,91,Children & Family Movies,2021,Children & Family Movies,,
8,Movie,Sankofa,Haile Gerima,United States,24/09/2021,1993,TV-MA,125,"Dramas, Independent Movies, International Movies",2021,Dramas,Independent Movies,International Movies
10,Movie,The Starling,Theodore Melfi,United States,24/09/2021,2021,PG-13,104,"Comedies, Dramas",2021,Comedies,Dramas,
13,Movie,Je Suis Karl,Christian Schwochow,Germany,23/09/2021,2021,TV-MA,127,"Dramas, International Movies",2021,Dramas,International Movies,
14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,22/09/2021,2021,TV-PG,91,"Children & Family Movies, Comedies",2021,Children & Family Movies,Comedies,
17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,22/09/2021,2020,TV-MA,67,"Documentaries, International Movies",2021,Documentaries,International Movies,
19,Movie,Intrusion,Adam Salky,,22/09/2021,2021,TV-14,94,Thrillers,2021,Thrillers,,
23,Movie,Avvai Shanmughi,K.S. Ravikumar,,21/09/2021,1996,TV-PG,161,"Comedies, International Movies",2021,Comedies,International Movies,
24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,21/09/2021,2021,TV-Y,61,Children & Family Movies,2021,Children & Family Movies,,
25,Movie,Jeans,S. Shankar,India,21/09/2021,1998,TV-14,166,"Comedies, International Movies, Romantic Movies",2021,Comedies,International Movies,Romantic Movies
27,Movie,Minsara Kanavu,Rajiv Menon,India,21/09/2021,1997,TV-PG,147,"Comedies, International Movies, Music & Musicals",2021,Comedies,International Movies,Music & Musicals
28,Movie,Grown Ups,Dennis Dugan,United States,20/09/2021,2010,PG-13,103,Comedies,2021,Comedies,,
29,Movie,Dark Skies,Scott Stewart,United States,19/09/2021,2013,PG-13,97,"Horror Movies, Sci-Fi & Fantasy",2021,Horror Movies,Sci-Fi & Fantasy,
30,Movie,Paranoia,Robert Luketic,United States,19/09/2021,2013,PG-13,106,Thrillers,2021,Thrillers,,
31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,17/09/2021,2021,TV-14,111,"Dramas, Independent Movies, International Movies",2021,Dramas,Independent Movies,International Movies
36,Movie,The Father Who Moves Mountains,Daniel Sandu,,17/09/2021,2021,TV-MA,110,"Dramas, International Movies, Thrillers",2021,Dramas,International Movies,Thrillers
37,Movie,The Stronghold,Cédric Jimenez,,17/09/2021,2021,TV-MA,105,"Action & Adventure, Dramas, International Movies",2021,Action & Adventure,Dramas,International Movies
39,Movie,Birth of the Dragon,George Nolfi,China,16/09/2021,2017,PG-13,96,"Action & Adventure, Dramas",2021,Action & Adventure,Dramas,
42,Movie,Jaws,Steven Spielberg,United States,16/09/2021,1975,PG,124,"Action & Adventure, Classic Movies, Dramas",2021,Action & Adventure,Classic Movies,Dramas
