show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,genre1,genre2,genre3
2,TV Show,Blood & Water,,South Africa,24/09/2021,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",2021,International TV Shows,TV Dramas,TV Mysteries
3,TV Show,Ganglands,Julien Leclercq,France,24/09/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,Crime TV Shows,International TV Shows,TV Action & Adventure
4,TV Show,Jailbirds New Orleans,,Pakistan,24/09/2021,2021,TV-MA,1 Season,"Docuseries, Reality TV",2021,Docuseries,Reality TV,
5,TV Show,Kota Factory,,India,24/09/2021,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",2021,International TV Shows,Romantic TV Shows,TV Comedies
6,TV Show,Midnight Mass,Mike Flanagan,United States,24/09/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",2021,TV Dramas,TV Horror,TV Mysteries
9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,24/09/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",2021,British TV Shows,Reality TV,
11,TV Show,"Vendetta: Truth, Lies and The Mafia",,Pakistan,24/09/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",2021,Crime TV Shows,Docuseries,International TV Shows
12,TV Show,Bangkok Breaking,Kongkiat Komesiri,,23/09/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,Crime TV Shows,International TV Shows,TV Action & Adventure
15,TV Show,Crime Stories: India Detectives,,Pakistan,22/09/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",2021,British TV Shows,Crime TV Shows,Docuseries
16,TV Show,Dear White People,,United States,22/09/2021,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",2021,TV Comedies,TV Dramas,
18,TV Show,Falsa identidad,,Mexico,22/09/2021,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",2021,Crime TV Shows,Spanish-Language TV Shows,TV Dramas
20,TV Show,Jaguar,,Pakistan,22/09/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021,International TV Shows,Spanish-Language TV Shows,TV Action & Adventure
